Priorité,Catégorie,Titre,Impact,Effort estimé,Fichiers concernés,Action principale
CRITIQUE,SEO Local Pakistan,Google Business Profile absent,+60-70% visibilité local pack,1h,Aucun (action externe),Créer listing sur business.google.com avec adresse exacte + photos machines
CRITIQUE,SEO Local Pakistan,Zéro listing OLX Pakistan,Canal principal acheteurs PK ignoré,2h initiale,Aucun (action externe),Créer 8 annonces OLX (une par machine) avec photos + WhatsApp
CRITIQUE,Technique,Bug nav Urdu — href urdu.html au lieu de ur/[page].html,Casse hreflang + UX mobile,20 min,Toutes les pages [machine].html L.187,Remplacer href="urdu.html" par href="ur/[machine].html" dans les 8 pages produit
CRITIQUE,Technique,Google Fonts render-blocking — +300ms LCP mobile,Core Web Vitals LCP pénalisé,30 min,Toutes les 18 pages HTML L.34-36,Supprimer Google Fonts et passer au stack système (-apple-system Segoe UI etc.)
HAUTE,SEO Local Pakistan,sameAs vide dans LocalBusiness schema,Zéro signal de citations externe,15 min,index.html L.123,Remplir sameAs avec URLs OLX + GBP + Facebook après création
HAUTE,SEO Local Pakistan,Aucune présence Facebook,Canal B2B #1 au Pakistan ignoré,3-4h initiale,Aucun (action externe),Créer page Facebook Business + rejoindre groupes machines Pakistan
HAUTE,Technique,Homepage title = 95 chars tronqué à 60 par Google,CTR réduit (fin du titre invisible),5 min,index.html L.6,Raccourcir à "Used Industrial Machines for Sale — Sialkot Pakistan" (52 chars)
HAUTE,Technique,Preload JPG au lieu de WebP sur pages produit,Double download image LCP,20 min,Toutes les pages produit L.41,Changer fetchpriority preload vers .webp avec type="image/webp"
HAUTE,On-Page Contenu,vertical-milling.html contenu mince ~350 mots,Position 9.86 — à 0.14 pt de la page 1,1h,vertical-milling.html,Ajouter 300+ mots : specs concrètes + FAQ prix + applications Pakistan
HAUTE,On-Page Contenu,Zéro signal de prix sur le site,Requêtes "price in Pakistan" non servies,1h (toutes les pages),Toutes les pages produit,Ajouter FAQ "What is the price of [machine] in Pakistan?" sur chaque page
HAUTE,On-Page Contenu,Alt text cards homepage sans géo Pakistan,Trafic Google Images non capté,10 min,index.html L.333 L.347 etc.,Ajouter "— Sialkot Pakistan" dans tous les alt text des cards
HAUTE,E-E-A-T,Aucune identité propriétaire sur le site,E-E-A-T faible — Google favorise les experts identifiés,30 min,index.html section Contact,Ajouter prénom propriétaire + titre + années expérience dans la section contact
MOYENNE,Technique,sitemap-machines.xml doublon inutile,Gaspillage crawl budget,30 min,sitemap-machines.xml,Transformer en image sitemap (schema image:image) pour les 9 images produit
